Patient	HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_HYPOXIA	HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_MITOTIC_SPINDLE	HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_DNA_REPAIR	HALLMARK_G2M_CHECKPOINT	HALLMARK_APOPTOSIS	HALLMARK_NOTCH_SIGNALING	HALLMARK_ADIPOGENESIS	HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ANDROGEN_RESPONSE	HALLMARK_MYOGENESIS	HALLMARK_PROTEIN_SECRETION	HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_SURFACE	HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_COMPLEMENT	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_MTORC1_SIGNALING	HALLMARK_E2F_TARGETS	HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V2	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_GLYCOLYSIS	HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	HALLMARK_P53_PATHWAY	HALLMARK_UV_RESPONSE	HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_DN	HALLMARK_ANGIOGENESIS	HALLMARK_HEME_METABOLISM	HALLMARK_COAGULATION	HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_BILE_ACID_METABOLISM	HALLMARK_PEROXISOME	HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_SPERMATOGENESIS	HALLMARK_KRAS_SIGNALING	HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_DN	HALLMARK_PANCREAS_BETA_CELLS	MHC-II	MHC-I
Patient11	4154.936088	4308.97691	6288.055563	6793.644205	3566.766659	6256.302635	3029.491697	6773.273927	6849.092279	5753.093892	4410.838389	6067.582196	2839.316008	2011.826015	6215.440823	1977.215405	7728.587825	6334.639725	5714.457763	3263.797408	317.0993587	2455.384318	4587.912985	7618.178436	5619.616653	7607.946602	6751.012183	8875.712759	6874.415288	4683.379619	1742.169687	2361.642263	4916.697414	8237.762072	4231.326143	6819.79989	4687.10523	-1427.919762	4560.229	5988.148763	3974.118774	4030.054625	3055.587183	4056.311348	1276.720887	4258.16163	3340.89996	-378.0824491	6045.366836	1690.109987	-4355.25685	-1402.424832	5775.793694	8968.494324
Patient121	4176.794082	4894.901099	6281.42451	6879.560008	3471.910931	6299.701902	3738.814396	6595.411458	6687.741629	5914.534978	4956.15603	6707.256505	3578.703469	3186.415084	6054.769464	2918.28243	7378.037761	6700.694011	6147.962269	4443.98596	1563.718873	2786.205065	4703.029305	7350.109647	6010.762068	7339.835275	6553.712824	8622.05292	6606.83092	5327.078189	1278.946369	3411.069285	5618.395402	8203.748244	4525.1544	7145.652121	5181.664866	-769.7418367	4990.31319	5760.055027	4428.1614	4273.129009	3319.053809	4038.129599	1319.479649	4960.768929	4154.644513	-646.9681279	4732.36104	1707.933104	-3024.427936	-1898.31931	7755.47526	9957.796015
Patient125	4415.321462	4067.244162	4784.079167	6908.703337	3244.678358	6054.068901	5161.401557	6221.972161	6912.707889	6104.76936	4319.365161	5460.334929	1363.003859	1389.06819	5614.4313	1094.389611	7302.107007	8134.165765	7748.699181	2739.532837	689.7106766	1257.970395	5083.398715	7186.623418	5918.367408	7193.942123	6884.393675	8499.479895	5781.168117	4771.971358	2865.093142	2255.114314	4045.948017	7678.235369	3235.800576	7236.79799	4564.013741	-1196.488212	4451.519173	5648.007386	1882.980386	3860.410975	2008.645454	4622.337483	694.6382096	4476.348203	6250.04176	-460.481916	6215.599106	2061.849896	-4153.74921	-2509.474623	9212.480172	10234.63075
Patient126	4310.340282	4367.572169	6048.433317	6926.741417	2988.101183	6210.86237	4278.644099	6145.701595	6737.729503	6091.868406	5004.635685	5995.279549	2200.588744	1576.200594	5781.771236	2292.56524	7614.932776	7378.19723	6622.163344	3451.854841	1019.985434	2594.284582	4616.485802	7377.73707	5785.098938	7168.533466	6338.76712	8668.436112	6588.53105	5468.250855	1954.723009	2495.424907	4604.078571	7983.777698	4198.783129	6731.420299	4412.583991	-1752.734463	4529.567283	6282.301746	4296.08553	4272.918408	3375.174676	4284.733505	1198.419622	4305.176557	4597.77998	-693.5128225	6158.989308	2123.879852	-4035.109456	-1747.711229	9405.765791	10171.0078
Patient127	4283.853513	4245.141534	5905.316398	7051.147088	3667.818101	6822.04755	3332.701258	6416.953316	6468.646689	5881.008702	5038.383464	5886.831496	3722.552612	3530.442014	6459.391569	2958.538857	7360.64381	6519.427988	5335.415929	3744.926499	2134.984515	3358.190456	4184.23984	6931.305993	5615.71254	6875.171307	6232.591105	8265.718602	5864.223254	5190.636646	1621.655713	3402.126659	4685.725459	7608.826257	4650.642002	6646.979371	4752.992812	-2147.244333	4405.604524	6552.848857	4313.31123	4433.003456	3395.422009	3907.451731	1731.634701	4727.311296	2456.781881	-1321.371352	6171.661003	3102.694146	-3068.966856	-816.2065594	4426.56335	9114.785643
Patient130	3795.074164	5121.514699	5883.851076	7010.640029	2482.521302	6397.600239	3185.790153	6482.501821	6636.729673	5986.14838	3068.726761	6088.881005	2919.374702	2371.956566	6211.429957	2266.266734	7631.16427	6923.770252	6514.748214	3679.801188	1040.444894	3842.024939	5344.823837	7578.305246	5737.109471	7619.226378	6738.00117	8724.888855	6507.704488	4639.685594	2037.200949	3477.277838	4894.224688	8160.607462	4358.094274	6859.942719	4598.43882	-830.6863489	4991.041394	5821.727743	4836.502132	4718.424712	3676.836029	3889.181781	1723.091309	4839.509926	4125.428746	517.1864001	6061.787454	2104.557399	-3957.230055	-959.961917	8120.196507	9929.877042
Patient131	3200.060627	4030.037823	5508.145168	6903.025665	3597.482531	6258.942932	3065.222929	5970.749577	6962.386067	5292.931624	3098.332402	5684.332297	1634.98891	1327.648969	6376.174775	557.0901416	7852.826093	4838.443714	4251.883072	3079.629507	1015.371143	2975.755319	4427.485588	6568.065929	6047.558768	7199.599868	6917.732108	8508.495692	5041.779176	4249.634748	1520.222597	2542.57544	4766.035407	7711.216998	3741.548299	6170.345176	3657.500789	-1874.63175	3945.246128	5819.877878	3286.929282	4494.392213	1930.783524	3244.458411	1004.510206	3908.370521	3217.962928	787.6690785	5437.172628	1687.331738	-3749.840889	-148.7655852	6347.479055	8054.491673
Patient132	5718.646131	4799.365321	5971.430131	6825.207411	3325.582095	7012.605376	5406.864096	6514.479962	6519.93862	6365.898848	4837.635145	6499.635905	4029.391542	3669.928035	6376.440713	2693.945632	7552.248185	7259.486636	7029.169202	3882.846628	2353.545238	2616.160005	5472.695887	7363.828871	5686.064592	7294.946077	6440.395099	8667.352471	6150.595587	5907.732208	3288.655256	3504.042312	4986.111375	8057.820317	4424.306846	7234.585282	5170.452899	-771.7124041	5161.256183	5932.968587	4972.026399	4665.838213	3970.354514	5162.009195	1800.065742	4430.762446	5567.2079	-232.7931817	7476.59024	3541.263142	-3935.327098	-2240.187707	9075.313734	9862.304244
Patient133	4567.672426	4299.490866	6697.027854	7022.061042	3161.014399	6336.292455	3947.091798	6478.939881	6868.058905	6158.577243	4666.691972	6092.677472	2560.312593	2328.421584	5954.59731	981.5466126	7583.626177	7044.655124	6372.673513	3320.029063	1856.449017	2518.265909	4899.161924	7531.264938	5936.254256	7577.849666	6827.71802	8789.138845	6531.747912	5081.19288	2168.951636	2841.099841	4566.318176	8085.949485	4173.618448	7110.200974	4939.600205	-1176.597554	4759.635022	5936.232575	3339.637205	4061.752167	2938.12849	4109.407164	1760.20142	4466.27108	4043.853931	-124.1422028	5598.150981	1823.542667	-3774.608314	-2331.2145	7535.913373	9731.55836
Patient134	4861.144353	4617.715155	6328.368136	6896.018061	2782.944968	6716.634692	4642.96082	6049.982509	6454.229819	6219.367313	4391.441701	6056.679457	3490.952916	3580.191664	6128.674828	2063.905657	7680.213487	7031.931543	6693.265238	4202.600893	2148.017168	2869.465685	5042.149032	7352.914085	5933.114817	7199.661153	6167.508778	8664.594781	5987.482566	5941.20689	2800.081768	2668.534586	4520.361938	7914.607627	4017.552267	6788.219233	5183.164593	-1657.467168	4694.343023	6351.810191	4137.543744	4205.100825	3008.060937	4467.69577	1566.548124	4473.801484	4678.161984	-543.1781835	5441.2053	2772.265284	-2668.940016	-1816.80838	8108.371845	9511.19802
Patient135	3334.136713	3685.144747	5764.233879	7055.144074	2260.334615	6125.224939	2986.748192	6589.788218	7025.852238	5663.489987	3958.579649	5759.205297	1256.316822	1638.121622	5774.672352	1194.215984	7831.774166	6338.218127	5785.629372	2659.878877	768.1705926	2691.210047	4314.74566	7663.471075	6069.894961	7337.435543	7253.775136	8902.831752	6445.518478	4966.662312	895.7364454	2484.410194	4678.321708	8173.790836	4016.287887	6669.469807	4461.143175	-1361.182872	4543.157364	5904.340237	3247.559415	4098.565046	2005.355661	3710.516426	482.4653442	3808.177371	3245.964589	-448.783725	5375.461487	1252.70665	-4122.754836	-1136.474245	6924.809747	8701.410704
Patient137	5231.857327	4110.818818	5666.277712	7217.109133	3469.182862	6837.678225	5432.434546	6320.635152	6766.787863	6460.610762	4045.961958	5637.402574	2470.709368	2368.886644	6073.666838	2221.465637	7428.671967	8579.825418	7679.942724	3956.054446	2007.697628	3479.42548	5557.434875	7451.263137	6059.314961	7223.940686	6747.287436	8478.319672	5910.619429	5775.693059	3249.4589	2286.497587	4152.517585	7764.178928	4123.537306	6689.089418	5097.20771	-925.0183813	4891.649062	5816.667444	4319.171519	4228.119216	2694.015421	4873.965604	566.7952605	3630.037959	6300.90981	-403.6181357	6536.847767	2751.614031	-3785.233736	-1982.47779	9154.819951	10091.29689
Patient13	4263.309978	4671.100356	5411.208952	7736.115933	3642.305983	6836.465895	2309.564205	6675.720845	7935.722019	5541.045123	4041.352402	5222.649553	1002.828408	869.3113441	5897.35453	1850.175107	7366.472261	4229.734026	3785.261242	3518.679458	168.6231467	3357.96269	3144.895709	7644.958938	5556.779887	7367.783155	7783.869995	8989.521267	6806.398828	5172.328569	690.931787	1737.658676	3583.746348	7610.837421	4659.954743	6511.230207	4193.507518	-1691.032897	4571.460548	6262.493445	4680.634433	3660.075915	1488.956535	2838.382879	-463.1801347	3765.929044	1835.179766	833.8746015	5903.55105	1653.083384	-4250.467666	-2078.771426	3894.788486	7943.536024
Patient140	3148.418427	4527.117122	6328.119769	7047.646379	2653.891485	5801.251554	1819.815471	6713.904334	6931.652596	5629.74798	3883.131458	5782.426022	2700.581806	1866.108229	6288.453479	1368.094773	7566.775719	6215.622744	4929.430185	2904.348232	1615.212761	2801.266016	4063.601257	7285.979848	5832.888798	7479.439357	7024.631308	8818.330081	6628.378726	3860.608351	212.4048863	2623.847698	4533.102258	8157.250815	4072.576514	6652.691102	4627.440015	-1885.385	4022.701559	5908.086559	1957.405042	4377.53125	2828.196699	2962.567912	1096.694326	4332.664504	1550.351359	85.61326538	4100.453788	444.4601797	-3655.993608	-504.5231751	6682.98818	9067.845793
Patient141	4762.386545	4868.406517	6235.825557	6818.98762	2483.861768	6632.404264	1858.154231	6766.937484	6590.944102	5897.823457	4474.518682	6131.166276	2843.520002	2231.229899	6632.230777	1553.026714	8074.72556	5189.941082	4405.833752	3042.098022	557.0225968	2030.111836	3563.620294	8070.171065	5175.820036	7746.850011	6326.765231	8888.730213	6849.812463	6171.58569	700.8476973	2583.398134	4917.249502	8180.808566	4442.978265	6361.411499	4719.084552	-1577.66916	5079.115243	6656.784403	4915.810668	4327.56768	3075.328941	3638.715651	1107.326763	4436.572461	1042.279294	-42.53524155	5701.105602	1225.817481	-4475.288121	-1760.477322	717.851967	8262.28092
Patient142	3938.49179	4412.684889	5615.408708	7088.363926	4010.006546	6096.725944	3063.25181	6528.252046	7063.727746	5869.430428	4257.794545	5731.774263	1737.244408	1095.334596	6208.76281	1729.679593	7664.786471	6443.838634	5838.230992	3268.013387	1079.885624	2715.473263	4590.266857	7261.071597	6081.267178	7271.967092	6991.824421	8630.95224	6232.251244	5017.853535	1298.046475	2846.874262	4962.981582	7628.665173	3722.503558	5983.271967	3810.404383	-1983.631343	4092.239729	6075.871073	4091.23772	4408.467004	2230.606346	4488.154688	1023.174888	4148.334801	3451.310752	21.16763891	5653.578702	2007.462703	-3646.115998	-123.5388839	7180.73199	8757.298796
Patient143	3977.532852	4975.730038	5596.670052	6842.669787	5455.859246	6034.499158	4542.38048	4318.296309	5809.783306	6813.840618	3515.580554	5895.608543	4378.8818	4464.468133	6285.418357	5158.656493	5943.516014	4827.796002	5047.080331	5978.960364	4109.994868	5697.878776	5956.883373	5692.137537	4501.255648	5850.862751	5745.616383	6598.524587	3181.900312	7196.453094	4384.435058	4655.825717	5786.389537	5103.26145	5413.189767	5263.243572	3367.669514	-486.6109727	5501.888178	5988.499151	6283.418261	4513.54136	6000.747008	4923.674242	4640.161347	5253.168725	5451.876227	2220.786272	2887.621348	4612.600172	1724.978824	1737.267751	6393.244206	7649.14536
Patient144	2770.506357	3997.748652	5698.485094	6970.023853	3298.289914	6041.31351	2958.673729	6309.0966	6641.145373	5426.21571	3692.306583	6097.239371	1803.255605	1906.400902	6347.308483	1723.627485	7472.837709	4851.103557	4132.417336	3298.379702	1336.540149	2241.140802	4207.71064	7264.269607	5878.366186	7218.080171	6530.054974	8493.905396	6063.76428	5555.067148	783.8466022	2505.051088	4763.703545	8116.8234	3885.238063	6506.940003	4048.59307	-1684.060634	4378.506296	6062.56693	3253.424319	4356.927743	3118.383757	3601.344464	1175.940545	3829.650082	2362.58416	436.8168112	5208.423638	1357.499831	-3850.923807	-378.7137487	5087.847582	7780.263614
Patient145	3915.789268	4175.767212	5800.779793	7226.505713	3089.033747	6809.532593	3686.329666	6314.210967	6834.089772	6188.349426	4224.902229	6203.991201	2397.752901	1830.949853	5688.741662	2225.381907	7818.666756	6982.011523	6256.325031	3744.122698	1812.463265	2674.057988	4813.984064	7145.86868	5963.721354	7358.369985	6931.655865	8633.484235	6224.886184	5843.871494	2220.003199	2951.807277	4902.997635	7773.868553	3749.269059	6727.417471	4749.80427	-1975.572635	4557.59519	6533.167825	4828.485527	4534.035155	3180.401808	4435.952673	1381.451741	4570.718818	4048.262916	-520.8634913	6586.963158	2372.322945	-4214.640213	-1555.496182	7143.484281	8809.905718
Patient146	3132.017173	4309.101761	5600.177594	6990.665082	2941.972055	6023.72459	2544.939998	6469.553589	6912.287935	5532.062373	4703.706464	6181.550971	1911.023886	1602.444606	5540.268732	2226.203156	7565.600792	5630.419349	4986.768722	3486.095788	-357.1682951	3008.749351	3967.093007	7275.06232	5581.801624	7055.656306	6860.808277	8657.974171	6513.891219	5960.203214	573.5171773	2559.780105	5015.282319	8048.33218	4449.42412	6492.754298	3951.822721	-1787.406464	4372.758827	6160.165291	5036.782862	4433.637445	3666.472084	3168.333958	1348.600225	4038.172725	2248.164585	-194.6786837	6135.582383	1860.254642	-4275.327741	-1186.736717	4465.367527	8642.814217
Patient147	4330.756028	5099.825063	6369.172404	7119.566461	2558.186713	6364.272158	3062.855003	6527.348829	6859.98904	5552.352441	4442.151823	6077.335217	2425.579164	1371.456387	6153.221978	1809.8027	7561.816766	5981.973981	4958.183187	3331.232502	932.8247612	1669.893689	3737.362129	7668.660789	5427.728706	7422.313159	6725.286952	8907.686448	6917.230862	5267.350435	504.9890943	2258.178423	4867.440684	8297.772533	4622.810369	6281.616807	4260.7473	-2112.563851	4171.742737	6284.306588	3871.21893	4454.591045	3239.226007	3244.288082	988.273336	4517.262929	2135.355935	449.0466346	5366.383445	1051.027273	-4315.356173	-985.8771864	4037.675291	8611.211245
Patient148	2749.552634	3846.726002	5830.51871	7053.912582	3009.648006	5651.568827	2635.192333	6610.988331	6775.185007	5154.086196	4179.568571	6308.730915	1847.286591	1802.719584	5342.892522	1133.446148	7587.783229	5268.198026	4908.706878	3066.55087	1224.329217	1125.517738	3746.438178	7567.968627	5669.847972	7428.679079	6815.499423	8850.443581	6462.959433	4329.960648	770.1274487	2835.485723	5425.293427	8241.458152	4093.362523	6875.190852	4289.22386	-1515.976128	4303.231958	5819.208086	2869.790772	3942.589706	1915.222553	2868.43975	1093.380567	4201.307379	2727.728894	155.9300759	5075.795866	673.1490156	-4402.64685	-462.222098	7686.484787	8348.535688
Patient149	6123.938675	5508.449583	6614.007907	7387.452116	3510.337611	7107.174126	6125.227966	6275.934395	7048.301343	6806.109345	4929.451658	6696.671651	3174.917449	2632.06149	6457.547994	2509.937599	7549.832701	7719.787357	7427.138694	4627.94486	1750.294127	3709.294734	5919.755141	7420.632307	6070.098371	7687.753783	7016.018087	8730.563375	5958.661558	7178.178622	4372.705489	3509.357729	5119.272212	7837.351947	4738.285139	7396.754833	5363.271675	-1719.528086	4895.233997	6614.762083	5142.692326	4415.422271	3701.626942	5252.599473	1516.163738	4138.257337	5862.308514	-1003.141382	8116.668252	4016.104095	-4100.564157	-2537.18895	8883.89238	9815.740572
Patient14	4436.173993	4584.103044	5909.997162	7179.222156	2185.905909	6352.701567	4188.539058	6041.272925	6511.598269	6078.46497	3678.076919	6729.634605	2482.743716	1769.498172	6405.117508	1907.390798	7472.89287	6538.710291	6109.008587	3370.247172	1284.018257	3017.451564	4899.839034	7305.809062	5640.977199	7288.541763	6455.637257	8486.549862	5929.697415	5521.478678	2460.610958	3056.819372	5351.349705	7873.689521	3874.739825	6919.061846	4439.70803	-2074.433006	4039.165806	6113.598812	4909.21763	4481.920815	3238.30664	4273.137433	1665.233529	4435.193906	3981.653687	-84.75994643	6567.62428	2402.939831	-4164.684449	-1706.627802	7914.205716	9058.767081
Patient150	3307.193864	4007.635284	5911.503947	6739.034287	3097.425075	6146.467002	2578.968986	6309.461556	6546.277131	5482.906777	4032.817973	6238.196364	2082.468944	1572.955838	6456.099991	1696.611467	7706.577623	6129.140351	5388.809342	2897.256594	-842.9388938	1077.687159	4002.514615	7272.885571	5604.247796	7115.803434	6407.548988	8646.320942	6291.309156	4861.950419	1082.859384	2458.89881	5007.067826	8478.815341	4200.225391	6658.59931	4066.622055	-1457.291753	4280.799367	5738.09112	4083.488315	4101.540756	2932.523936	3201.673052	2125.880789	4769.31262	2832.194454	-529.4140816	5933.962498	1675.74848	-4258.214018	-2206.268001	6990.524689	8888.677519
